lon,lat
-48.8,-1.725
-49.3,-1.725
-49.8,-1.725
-50.3,-1.725
-50.8,-1.725
-51.3,-1.725
-51.8,-1.725
-52.3,-1.725
-52.8,-1.725
-53.3,-1.725
-53.8,-1.725
-54.3,-1.725
-54.8,-1.725
-55.3,-1.725
-55.8,-1.725
-56.3,-1.725
-56.8,-1.725
-57.3,-1.725
-57.8,-1.725
-58.3,-1.725
-58.8,-1.725
-59.3,-1.725
-59.8,-1.725
-60.3,-1.725
-60.8,-1.725
-61.3,-1.725
-61.8,-1.725
-62.3,-1.725
-62.8,-1.725
-63.3,-1.725
-63.8,-1.725
-64.3,-1.725
-64.8,-1.725
-65.3,-1.725
-65.8,-1.725
-66.3,-1.725
-66.8,-1.725
-67.3,-1.725
-67.8,-1.725
-68.3,-1.725
-68.8,-1.725
-69.3,-1.725
-44.8,-2.225
-45.3,-2.225
-45.8,-2.225
-46.3,-2.225
-46.8,-2.225
-47.3,-2.225
-47.8,-2.225
-48.3,-2.225
-48.8,-2.225
-49.3,-2.225
-49.8,-2.225
-50.3,-2.225
-50.8,-2.225
-51.3,-2.225
-51.8,-2.225
-52.3,-2.225
-52.8,-2.225
-53.3,-2.225
-53.8,-2.225
-54.3,-2.225
-54.8,-2.225
-55.3,-2.225
-55.8,-2.225
-56.3,-2.225
-56.8,-2.225
-57.3,-2.225
-57.8,-2.225
-58.3,-2.225
-58.8,-2.225
-59.3,-2.225
-59.8,-2.225
-60.3,-2.225
-60.8,-2.225
-61.3,-2.225
-61.8,-2.225
-62.3,-2.225
-62.8,-2.225
-63.3,-2.225
-63.8,-2.225
-64.3,-2.225
-64.8,-2.225
-65.3,-2.225
-65.8,-2.225
-66.3,-2.225
-66.8,-2.225
-67.3,-2.225
-67.8,-2.225
-68.3,-2.225
-68.8,-2.225
-69.3,-2.225
-42.8,-2.725
-43.3,-2.725
-43.8,-2.725
-44.3,-2.725
-44.8,-2.725
-45.3,-2.725
-45.8,-2.725
-46.3,-2.725
-46.8,-2.725
-47.3,-2.725
-47.8,-2.725
-48.3,-2.725
-48.8,-2.725
-49.3,-2.725
-49.8,-2.725
-50.3,-2.725
-50.8,-2.725
-51.3,-2.725
-51.8,-2.725
-52.3,-2.725
-52.8,-2.725
-53.3,-2.725
-53.8,-2.725
-54.3,-2.725
-54.8,-2.725
-55.3,-2.725
-55.8,-2.725
-56.3,-2.725
-56.8,-2.725
-57.3,-2.725
-57.8,-2.725
-58.3,-2.725
-58.8,-2.725
-59.3,-2.725
-59.8,-2.725
-60.3,-2.725
-60.8,-2.725
-61.3,-2.725
-61.8,-2.725
-62.3,-2.725
-62.8,-2.725
-63.3,-2.725
-63.8,-2.725
-64.3,-2.725
-64.8,-2.725
-65.3,-2.725
-65.8,-2.725
-66.3,-2.725
-66.8,-2.725
-67.3,-2.725
-67.8,-2.725
-68.3,-2.725
-68.8,-2.725
-69.3,-2.725
-39.3,-3.225
-39.8,-3.225
-40.3,-3.225
-40.8,-3.225
-41.3,-3.225
-41.8,-3.225
-42.3,-3.225
-42.8,-3.225
-43.3,-3.225
-43.8,-3.225
-44.3,-3.225
-44.8,-3.225
-45.3,-3.225
-45.8,-3.225
-46.3,-3.225
-46.8,-3.225
-47.3,-3.225
-47.8,-3.225
-48.3,-3.225
-48.8,-3.225
-49.3,-3.225
-49.8,-3.225
-50.3,-3.225
-50.8,-3.225
-51.3,-3.225
-51.8,-3.225
-52.3,-3.225
-52.8,-3.225
-53.3,-3.225
-53.8,-3.225
-54.3,-3.225
-54.8,-3.225
-55.3,-3.225
-55.8,-3.225
-56.3,-3.225
-56.8,-3.225
-57.3,-3.225
-57.8,-3.225
-58.3,-3.225
-58.8,-3.225
-59.3,-3.225
-59.8,-3.225
-60.3,-3.225
-60.8,-3.225
-61.3,-3.225
-61.8,-3.225
-62.3,-3.225
-62.8,-3.225
-63.3,-3.225
-63.8,-3.225
-64.3,-3.225
-64.8,-3.225
-65.3,-3.225
-65.8,-3.225
-66.3,-3.225
-66.8,-3.225
-67.3,-3.225
-67.8,-3.225
-68.3,-3.225
-68.8,-3.225
-69.3,-3.225
-38.8,-3.725
-39.3,-3.725
-39.8,-3.725
-40.3,-3.725
-40.8,-3.725
-41.3,-3.725
-41.8,-3.725
-42.3,-3.725
-42.8,-3.725
-43.3,-3.725
-43.8,-3.725
-44.3,-3.725
-44.8,-3.725
-45.3,-3.725
-45.8,-3.725
-46.3,-3.725
-46.8,-3.725
-47.3,-3.725
-47.8,-3.725
-48.3,-3.725
-48.8,-3.725
-49.3,-3.725
-49.8,-3.725
-50.3,-3.725
-50.8,-3.725
-51.3,-3.725
-51.8,-3.725
-52.3,-3.725
-52.8,-3.725
-53.3,-3.725
-53.8,-3.725
-54.3,-3.725
-54.8,-3.725
-55.3,-3.725
-55.8,-3.725
-56.3,-3.725
-56.8,-3.725
-57.3,-3.725
-57.8,-3.725
-58.3,-3.725
-58.8,-3.725
-59.3,-3.725
-59.8,-3.725
-60.3,-3.725
-60.8,-3.725
-61.3,-3.725
-61.8,-3.725
-62.3,-3.725
-62.8,-3.725
-63.3,-3.725
-63.8,-3.725
-64.3,-3.725
-64.8,-3.725
-65.3,-3.725
-65.8,-3.725
-66.3,-3.725
-66.8,-3.725
-67.3,-3.725
-67.8,-3.725
-68.3,-3.725
-68.8,-3.725
-69.3,-3.725
-69.8,-3.725
-38.3,-4.225
-38.8,-4.225
-39.3,-4.225
-39.8,-4.225
-40.3,-4.225
-40.8,-4.225
-41.3,-4.225
-41.8,-4.225
-42.3,-4.225
-42.8,-4.225
-43.3,-4.225
-43.8,-4.225
-44.3,-4.225
-44.8,-4.225
-45.3,-4.225
-45.8,-4.225
-46.3,-4.225
-46.8,-4.225
-47.3,-4.225
-47.8,-4.225
-48.3,-4.225
-48.8,-4.225
-49.3,-4.225
-49.8,-4.225
-50.3,-4.225
-50.8,-4.225
-51.3,-4.225
-51.8,-4.225
-52.3,-4.225
-52.8,-4.225
-53.3,-4.225
-53.8,-4.225
-54.3,-4.225
-54.8,-4.225
-55.3,-4.225
-55.8,-4.225
-56.3,-4.225
-56.8,-4.225
-57.3,-4.225
-57.8,-4.225
-58.3,-4.225
-58.8,-4.225
-59.3,-4.225
-59.8,-4.225
-60.3,-4.225
-60.8,-4.225
-61.3,-4.225
-61.8,-4.225
-62.3,-4.225
-62.8,-4.225
-63.3,-4.225
-63.8,-4.225
-64.3,-4.225
-64.8,-4.225
-65.3,-4.225
-65.8,-4.225
-66.3,-4.225
-66.8,-4.225
-67.3,-4.225
-67.8,-4.225
-68.3,-4.225
-68.8,-4.225
-69.3,-4.225
-69.8,-4.225
-70.3,-4.225
-70.8,-4.225
-37.8,-4.725
-38.3,-4.725
-38.8,-4.725
-39.3,-4.725
-39.8,-4.725
-40.3,-4.725
-40.8,-4.725
-41.3,-4.725
-41.8,-4.725
-42.3,-4.725
-42.8,-4.725
-43.3,-4.725
-43.8,-4.725
-44.3,-4.725
-44.8,-4.725
-45.3,-4.725
-45.8,-4.725
-46.3,-4.725
-46.8,-4.725
-47.3,-4.725
-47.8,-4.725
-48.3,-4.725
-48.8,-4.725
-49.3,-4.725
-49.8,-4.725
-50.3,-4.725
-50.8,-4.725
-51.3,-4.725
-51.8,-4.725
-52.3,-4.725
-52.8,-4.725
-53.3,-4.725
-53.8,-4.725
-54.3,-4.725
-54.8,-4.725
-55.3,-4.725
-55.8,-4.725
-56.3,-4.725
-56.8,-4.725
-57.3,-4.725
-57.8,-4.725
-58.3,-4.725
-58.8,-4.725
-59.3,-4.725
-59.8,-4.725
-60.3,-4.725
-60.8,-4.725
-61.3,-4.725
-61.8,-4.725
-62.3,-4.725
-62.8,-4.725
-63.3,-4.725
-63.8,-4.725
-64.3,-4.725
-64.8,-4.725
-65.3,-4.725
-65.8,-4.725
-66.3,-4.725
-66.8,-4.725
-67.3,-4.725
-67.8,-4.725
-68.3,-4.725
-68.8,-4.725
-69.3,-4.725
-69.8,-4.725
-70.3,-4.725
-70.8,-4.725
-71.3,-4.725
-71.8,-4.725
-35.8,-5.225
-36.3,-5.225
-36.8,-5.225
-37.3,-5.225
-37.8,-5.225
-38.3,-5.225
-38.8,-5.225
-39.3,-5.225
-39.8,-5.225
-40.3,-5.225
